UCKL1,"Enzymes, Predicted intracellular proteins"
UQCC1,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
VAPB,"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
VPS16,"Disease related genes, Predicted intracellular proteins"
VSTM2L,Predicted secreted proteins
VSX1,"Disease related genes, Predicted intracellular proteins, Transcription factors"
WFDC2,"Cancer-related genes, Predicted intracellular proteins, Predicted secreted proteins"
WFDC3,"Predicted intracellular proteins, Predicted secreted proteins"
WFDC5,Predicted secreted proteins
WFDC6,Predicted secreted proteins
WFDC8,Predicted secreted proteins
WFDC9,Predicted intracellular proteins
WFDC10A,Predicted secreted proteins
WFDC10B,"Predicted intracellular proteins, Predicted secreted proteins"
WFDC11,Predicted secreted proteins
WFDC12,Predicted secreted proteins
WFDC13,Predicted secreted proteins
WISP2,"Plasma proteins, Predicted secreted proteins"
XKR7,Predicted membrane proteins
XRN2,Predicted intracellular proteins
YTHDF1,Predicted intracellular proteins
